GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,MP1E001,MUVE001,MUVE002,MUVE003,MUVE004,MUVE005,MUVE006,MUVE007,MUVE008,MUVE009,MUVE010,MUVE011,NAME_M,MP1M001,MUVM001,MUVM002,MUVM003,MUVM004,MUVM005,MUVM006,MUVM007,MUVM008,MUVM009,MUVM010,MUVM011
"G0100010","2007-2011","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",53899,4450,133,370,650,526,541,498,312,122,775,523,"Autauga County, Alabama",2410,386,93,134,185,174,144,186,137,70,186,144
"G0100030","2007-2011","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",51321,16818,438,1214,1719,1763,2213,1121,1332,2066,3029,1923,"Baldwin County, Alabama",1499,907,152,294,360,355,395,291,290,355,418,327
"G0100050","2007-2011","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",34041,3218,108,202,262,240,325,153,73,263,866,726,"Barbour County, Alabama",3009,307,71,109,101,107,117,77,52,94,185,171
"G0100070","2007-2011","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",40506,1227,15,55,263,160,122,125,30,122,164,171,"Bibb County, Alabama",3675,269,18,44,153,102,92,76,35,80,109,87
"G0100090","2007-2011","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",45404,4207,159,419,666,615,533,180,181,293,551,610,"Blount County, Alabama",1672,391,91,148,207,219,162,85,86,139,158,161
"G0100110","2007-2011","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",31955,766,15,95,70,36,32,48,21,100,214,135,"Bullock County, Alabama",5969,168,24,94,60,34,38,57,36,74,108,83
"G0100130","2007-2011","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",31273,2341,95,93,244,260,226,122,294,157,493,357,"Butler County, Alabama",2519,258,69,59,109,90,86,76,94,79,144,105
"G0100150","2007-2011","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",39467,13752,650,1192,1655,1324,1123,804,796,1271,3234,1703,"Calhoun County, Alabama",1089,683,154,251,334,251,242,217,225,256,471,262
"G0100170","2007-2011","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",32186,3885,86,290,192,425,401,374,155,330,960,672,"Chambers County, Alabama",1223,378,64,116,87,139,135,164,84,134,208,167
"G0100190","2007-2011","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",37833,2787,188,158,272,155,164,219,225,230,351,825,"Cherokee County, Alabama",5117,415,122,93,115,77,82,136,112,142,137,234
"G0100210","2007-2011","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",40418,4018,202,383,425,203,306,290,134,326,831,918,"Chilton County, Alabama",2465,419,110,158,148,127,137,131,70,126,250,214
"G0100230","2007-2011","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",32188,783,22,86,32,71,51,43,55,24,132,267,"Choctaw County, Alabama",4085,148,20,57,28,46,38,33,43,22,80,79
