GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QU1E001,QZZE001,QZZE002,QZZE003,QZZE004,QZZE005,QZZE006,QZZE007,QZZE008,QZZE009,QZZE010,QZZE011,NAME_M,QU1M001,QZZM001,QZZM002,QZZM003,QZZM004,QZZM005,QZZM006,QZZM007,QZZM008,QZZM009,QZZM010,QZZM011
"G0100010","2008-2012","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",53773,4446,73,341,635,576,541,482,302,158,906,432,"Autauga County, Alabama",1888,408,39,108,201,192,179,164,135,75,212,149
"G0100030","2008-2012","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",50706,18862,673,1406,2023,1898,2386,1373,1623,1948,3468,2064,"Baldwin County, Alabama",1371,1002,277,311,414,413,481,348,386,338,441,407
"G0100050","2008-2012","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",31889,3138,64,213,281,212,377,166,84,182,786,773,"Barbour County, Alabama",2212,300,45,113,109,88,146,89,47,92,168,180
"G0100070","2008-2012","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",36824,1407,18,95,258,111,105,107,57,164,226,266,"Bibb County, Alabama",4346,227,14,60,119,70,70,83,56,107,112,124
"G0100090","2008-2012","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",45192,3974,146,344,703,412,521,156,157,253,651,631,"Blount County, Alabama",1933,404,94,126,193,151,177,66,76,112,174,168
"G0100110","2008-2012","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",34500,849,15,117,70,34,92,34,24,42,213,208,"Bullock County, Alabama",6593,198,26,107,62,31,86,46,32,42,117,138
"G0100130","2008-2012","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",30752,2413,79,136,287,229,206,111,287,191,547,340,"Butler County, Alabama",2362,250,58,68,96,79,103,52,119,79,152,98
"G0100150","2008-2012","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",40093,13815,697,1251,1611,1551,1046,860,645,1254,3232,1668,"Calhoun County, Alabama",1289,624,182,243,254,280,187,224,189,286,381,311
"G0100170","2008-2012","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",32181,4195,96,323,209,443,332,358,170,435,1051,778,"Chambers County, Alabama",1387,333,60,128,84,156,122,120,85,146,221,157
"G0100190","2008-2012","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",36241,3011,168,187,444,209,317,159,199,240,353,735,"Cherokee County, Alabama",4312,442,111,104,162,109,168,96,110,131,126,182
"G0100210","2008-2012","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",40834,4062,212,379,441,223,475,235,98,364,860,775,"Chilton County, Alabama",1951,430,115,137,159,110,154,104,47,136,207,203
"G0100230","2008-2012","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",35123,853,65,112,42,91,43,43,44,18,136,259,"Choctaw County, Alabama",3027,155,44,54,26,45,30,38,30,25,86,90
"G0100250","2008-2012","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",30954,2232,91,99,125,101,204,219,196,140,324,733,"Clarke County, Alabama",3743,324,45,75,74,48,118,105,135,94,132,171
"G0100270","2008-2012","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",34556,1416,78,105,168,233,121,42,20,94,216,339,"Clay County, Alabama",2952,214,64,68,82,108,65,37,20,65,97,98
"G0100290","2008-2012","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",37244,1177,86,140,111,75,23,97,127,34,202,282,"Cleburne County, Alabama",2406,176,73,73,58,59,18,69,80,37,72,105
"G0100310","2008-2012","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",44626,5550,289,461,644,765,450,355,363,285,1071,867,"Coffee County, Alabama",2457,386,114,129,143,189,129,116,149,98,222,187
"G0100330","2008-2012","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",40158,6090,386,751,624,555,488,443,384,515,1097,847,"Colbert County, Alabama",1738,463,120,196,186,161,152,128,141,181,209,179
"G0100350","2008-2012","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",27064,967,8,56,0,55,70,83,93,61,302,239,"Conecuh County, Alabama",3998,216,15,55,19,49,55,68,64,50,153,98
"G0100370","2008-2012","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",37425,743,4,104,81,42,26,5,85,43,139,214,"Coosa County, Alabama",3513,159,6,80,51,36,25,7,63,26,66,78
"G0100390","2008-2012","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",35321,3779,97,354,311,335,298,334,174,281,774,821,"Covington County, Alabama",1759,353,57,108,104,105,106,107,90,90,171,196
"G0100410","2008-2012","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",37309,1589,162,156,175,191,134,78,32,119,253,289,"Crenshaw County, Alabama",4396,204,62,74,81,83,63,43,28,61,97,101
"G0100430","2008-2012","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",39244,7995,262,687,687,795,688,523,513,444,1756,1640,"Cullman County, Alabama",1728,557,133,181,195,218,215,155,181,152,318,290
"G0100450","2008-2012","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",45247,7726,383,1054,956,753,1050,598,338,508,1100,986,"Dale County, Alabama",1982,359,100,209,180,153,236,178,90,133,205,174
"G0100470","2008-2012","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",26178,6132,207,332,329,329,518,461,327,605,1573,1451,"Dallas County, Alabama",1923,420,100,152,124,120,155,152,129,156,289,263
"G0100490","2008-2012","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",36853,5932,262,552,805,489,678,430,246,442,702,1326,"DeKalb County, Alabama",1449,560,111,162,243,151,222,184,114,153,181,246
"G0100510","2008-2012","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",55514,6370,176,714,799,731,484,443,383,539,1145,956,"Elmore County, Alabama",2172,521,104,208,197,202,189,153,163,176,224,262
"G0100530","2008-2012","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",31075,3823,92,345,257,367,286,142,230,414,967,723,"Escambia County, Alabama",1361,346,69,98,103,154,112,70,80,159,253,193
"G0100550","2008-2012","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",37660,11263,360,968,1050,1260,1148,808,770,993,2039,1867,"Etowah County, Alabama",1232,584,128,202,256,235,252,186,229,189,309,299
"G0100570","2008-2012","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",33090,1759,40,139,46,165,95,145,123,192,301,513,"Fayette County, Alabama",3766,237,30,88,30,87,68,77,83,84,117,175
"G0100590","2008-2012","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",37235,3769,262,281,595,416,395,298,117,230,617,558,"Franklin County, Alabama",2519,376,125,126,173,140,143,149,69,125,176,137
"G0100610","2008-2012","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",33618,3163,55,289,314,349,359,245,270,132,547,603,"Geneva County, Alabama",3137,381,39,135,116,150,136,110,144,93,162,159
"G0100630","2008-2012","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",23777,966,37,37,37,120,73,49,132,49,123,309,"Greene County, Alabama",4976,182,48,32,31,69,39,41,94,41,77,108
"G0100650","2008-2012","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",29409,1427,50,59,104,158,128,84,20,79,293,452,"Hale County, Alabama",2629,207,35,41,60,66,87,71,18,54,110,124
"G0100670","2008-2012","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",40680,1515,120,173,142,122,72,72,120,101,213,380,"Henry County, Alabama",2576,253,82,78,96,89,53,51,84,75,92,135
"G0100690","2008-2012","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",41828,13293,502,1248,1717,1394,1317,992,815,974,2898,1436,"Houston County, Alabama",784,414,94,163,170,173,161,138,134,149,207,170
"G0100710","2008-2012","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",37059,5122,161,497,695,487,313,409,314,370,609,1267,"Jackson County, Alabama",1568,444,85,163,163,164,105,137,122,145,183,199
"G0100730","2008-2012","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",45415,90216,2226,6101,9314,10053,9349,6742,5247,7645,25361,8178,"Jefferson County, Alabama",805,1785,346,594,660,711,699,613,523,817,888,594
"G0100750","2008-2012","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",35271,1715,84,110,133,94,171,87,60,149,292,535,"Lamar County, Alabama",3204,254,66,82,69,56,87,51,62,77,119,152
"G0100770","2008-2012","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",40701,11204,530,967,918,1105,976,777,651,772,3197,1311,"Lauderdale County, Alabama",1335,618,167,243,221,237,242,204,208,172,406,262
"G0100790","2008-2012","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",39526,2732,137,201,254,374,214,195,227,152,317,661,"Lawrence County, Alabama",2484,260,84,110,72,135,99,77,123,69,117,158
"G0100810","2008-2012","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",43189,20460,380,1499,1808,1932,1991,1644,1282,1562,6211,2151,"Lee County, Alabama",1551,789,125,292,319,322,307,284,286,321,545,334
"G0100830","2008-2012","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",48197,7126,363,704,770,689,846,599,518,359,1219,1059,"Limestone County, Alabama",1409,584,141,194,181,182,253,160,177,123,316,227
"G0100850","2008-2012","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",28023,1093,46,78,75,95,72,77,65,48,197,340,"Lowndes County, Alabama",2979,152,33,37,61,66,44,41,47,36,80,88
"G0100870","2008-2012","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",27957,2631,72,125,245,233,167,228,68,182,781,530,"Macon County, Alabama",2989,235,48,65,93,74,80,91,35,77,158,129
"G0100890","2008-2012","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",58242,39371,1876,4041,5139,5048,3191,2939,2417,2833,8581,3306,"Madison County, Alabama",1045,1022,370,500,457,465,372,418,354,377,536,426
"G0100910","2008-2012","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",34515,2468,117,118,162,231,193,140,131,193,379,804,"Marengo County, Alabama",2404,300,86,85,73,120,98,90,88,115,141,247
