GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AF49E001,AF9FE001,AF9FE002,AF9FE003,AF9FE004,AF9FE005,AF9FE006,AF9FE007,AF9FE008,AF9FE009,AF9FE010,AF9FE011,NAME_M,AF49M001,AF9FM001,AF9FM002,AF9FM003,AF9FM004,AF9FM005,AF9FM006,AF9FM007,AF9FM008,AF9FM009,AF9FM010,AF9FM011
"G0100010","2012-2016","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",53099,5582,121,366,701,522,494,474,360,495,1447,602,"Autauga County, Alabama",2631,576,75,168,208,187,202,238,168,222,355,175
"G0100030","2012-2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",51365,21244,862,1473,2542,2137,2252,1749,1491,1476,4422,2840,"Baldwin County, Alabama",991,874,282,353,373,408,386,326,314,306,504,449
"G0100050","2012-2016","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",33956,3293,160,146,321,367,286,259,106,179,843,626,"Barbour County, Alabama",2655,244,71,66,89,88,97,113,72,70,156,149
"G0100070","2012-2016","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",39776,1929,148,229,170,144,166,198,109,97,267,401,"Bibb County, Alabama",3306,296,108,126,107,98,88,141,76,83,124,145
"G0100090","2012-2016","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",46212,4365,245,358,404,390,453,298,243,239,614,1121,"Blount County, Alabama",2443,410,115,132,166,131,130,127,122,116,152,225
"G0100110","2012-2016","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",29335,956,0,41,104,87,104,74,23,21,261,241,"Bullock County, Alabama",5435,192,18,45,85,75,75,58,25,30,100,108
"G0100130","2012-2016","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",34315,2282,104,231,314,213,93,215,100,224,369,419,"Butler County, Alabama",2904,217,53,76,97,79,39,92,56,90,107,113
"G0100150","2012-2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",41954,13964,656,1388,1527,1444,1320,821,703,1051,3246,1808,"Calhoun County, Alabama",1381,726,211,300,315,239,233,199,194,215,423,327
"G0100170","2012-2016","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",36027,4481,162,507,431,399,385,373,255,355,843,771,"Chambers County, Alabama",1870,448,86,170,115,128,140,174,112,125,199,184
"G0100190","2012-2016","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",38925,2291,135,299,192,162,168,239,151,177,315,453,"Cherokee County, Alabama",2598,324,75,148,99,82,100,120,103,103,112,193
"G0100210","2012-2016","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",42594,3984,135,444,379,271,532,422,258,330,626,587,"Chilton County, Alabama",2580,382,88,161,149,142,197,181,152,168,222,163
"G0100230","2012-2016","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",32622,1083,67,84,44,66,84,99,85,113,188,253,"Choctaw County, Alabama",2357,158,49,48,35,52,46,70,61,62,76,81
"G0100250","2012-2016","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",32735,3132,96,237,129,163,166,312,23,125,400,1481,"Clarke County, Alabama",3261,296,59,83,79,84,90,142,19,65,139,248
"G0100270","2012-2016","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",38815,1338,32,160,208,135,145,44,35,123,75,381,"Clay County, Alabama",4217,169,32,84,93,73,73,46,38,84,56,123
"G0100290","2012-2016","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",36316,1423,38,96,241,148,89,83,134,80,164,350,"Cleburne County, Alabama",3942,215,39,55,90,78,59,51,82,45,80,118
"G0100310","2012-2016","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",47872,6458,309,429,967,842,652,422,387,430,1207,813,"Coffee County, Alabama",2517,431,109,117,213,177,180,141,120,139,239,134
"G0100330","2012-2016","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",43786,6169,313,704,559,545,525,382,416,480,1387,858,"Colbert County, Alabama",2743,543,123,219,174,145,164,148,146,163,272,214
"G0100350","2012-2016","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",27609,1093,5,18,50,125,134,47,17,162,182,353,"Conecuh County, Alabama",2836,170,6,20,37,83,72,39,18,76,92,119
