GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,AL1BE001,AL1BE002,AL1BE003,AL1BE004,AL1BE005,AL1BE006,AL1BE007,AL1BE008,AL1BE009,AL1BE010,AL1BE011,NAME_M,ALW1M001,AL1BM001,AL1BM002,AL1BM003,AL1BM004,AL1BM005,AL1BM006,AL1BM007,AL1BM008,AL1BM009,AL1BM010,AL1BM011
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",58731,5715,218,395,498,850,557,432,112,400,1443,810,"Autauga County, Alabama",4410,482,121,165,170,258,249,182,59,180,272,299
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",58320,20034,717,1491,2484,2391,2115,1657,1115,1573,3792,2699,"Baldwin County, Alabama",1564,966,268,382,426,361,411,361,293,399,589,492
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",32525,3654,170,280,350,426,286,250,139,323,755,675,"Barbour County, Alabama",2291,283,75,98,121,123,98,104,73,118,149,154
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",47542,1763,112,246,94,108,163,113,77,114,379,357,"Bibb County, Alabama",5504,291,66,129,85,71,93,72,67,102,187,134
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",49358,4424,214,356,342,582,352,329,231,228,683,1107,"Blount County, Alabama",2136,421,125,131,118,207,144,125,101,110,207,267
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",37785,1017,17,7,139,97,103,63,29,34,292,236,"Bullock County, Alabama",12122,268,22,13,115,80,99,61,36,40,181,118
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",40688,1955,179,205,192,115,127,177,66,129,299,466,"Butler County, Alabama",2858,205,93,76,64,54,55,76,40,69,105,126
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",47255,13351,913,1298,1813,1242,1131,935,795,942,2660,1622,"Calhoun County, Alabama",2090,615,236,291,329,294,238,194,228,229,356,244
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",42289,4376,340,701,676,261,357,203,309,220,652,657,"Chambers County, Alabama",2979,351,118,225,218,131,154,98,107,108,148,162
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",41919,2433,234,271,222,186,131,119,150,197,245,678,"Cherokee County, Alabama",2465,327,120,115,109,102,84,78,108,99,105,229
