GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AOQIE001,AOUFE001,AOUFE002,AOUFE003,AOUFE004,AOUFE005,AOUFE006,AOUFE007,AOUFE008,AOUFE009,AOUFE010,AOUFE011,NAME_M,AOQIM001,AOUFM001,AOUFM002,AOUFM003,AOUFM004,AOUFM005,AOUFM006,AOUFM007,AOUFM008,AOUFM009,AOUFM010,AOUFM011
"G0100010","2017-2021","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01001",,,"01001","Autauga County, Alabama",62660,5629,385,425,551,974,813,172,92,289,1113,815,"Autauga County, Alabama",4834,491,189,155,195,382,332,89,88,149,258,255
"G0100030","2017-2021","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01003",,,"01003","Baldwin County, Alabama",64346,19948,585,1645,2233,2885,1664,1823,1069,1910,3477,2657,"Baldwin County, Alabama",2377,1376,204,414,645,724,407,431,294,539,659,485
"G0100050","2017-2021","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01005",,,"01005","Barbour County, Alabama",36422,3434,157,246,496,456,264,199,213,298,478,627,"Barbour County, Alabama",3282,289,72,115,184,146,101,88,104,112,140,158
"G0100070","2017-2021","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01007",,,"01007","Bibb County, Alabama",54277,1503,95,199,20,206,90,18,20,218,321,316,"Bibb County, Alabama",7325,307,84,105,32,127,64,22,33,192,179,162
"G0100090","2017-2021","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01009",,,"01009","Blount County, Alabama",52830,4435,229,342,545,417,333,236,232,300,751,1050,"Blount County, Alabama",3197,517,102,119,228,154,157,91,104,148,243,307
"G0100110","2017-2021","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01011",,,"01011","Bullock County, Alabama",29063,1199,38,2,86,209,52,53,59,47,346,307,"Bullock County, Alabama",7174,245,30,4,72,233,54,68,72,57,173,103
"G0100130","2017-2021","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01013",,,"01013","Butler County, Alabama",45236,1803,114,125,224,80,186,120,104,91,327,432,"Butler County, Alabama",3880,230,68,61,91,36,92,53,60,71,123,102
"G0100150","2017-2021","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01015",,,"01015","Calhoun County, Alabama",50977,12854,745,1250,1690,1312,1245,852,695,860,2604,1601,"Calhoun County, Alabama",1889,798,205,279,386,373,261,254,252,232,361,327
"G0100170","2017-2021","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01017",,,"01017","Chambers County, Alabama",47232,4034,327,515,679,483,289,197,362,195,494,493,"Chambers County, Alabama",5252,396,130,204,222,224,123,99,183,90,168,166
"G0100190","2017-2021","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01019",,,"01019","Cherokee County, Alabama",43475,2085,159,175,172,122,186,81,108,218,172,692,"Cherokee County, Alabama",3643,337,91,89,79,83,102,59,80,123,95,243
